Wavelength (nm),KRC1,OP1b_H4_GT,K-EFF_1-O3,K-EFF_1-O4,K-EFF_1-O5,K-EFF_1-O6,K-EFF_1-O7,K-EFF_1-O8,K-EFF_1-O9,K-EFF_1-O10,K-EFF_1-O11,K-EFF_1-O12,K-EFF_1-O13,K-EFF_1-O14,K-EFF_1-O15,K-EFF_1-O16,K-EFF_1-O17,K-EFF_1-O18,K-EFF_1-O19,K-EFF_1-O20,K-EFF_1-O21,K-EFF_1-O22,K-EFF_1-O23,K-EFF_1-O24,K-EFF_1-O25,K-EFF_1-O26,K-EFF_1-O27,K-EFF_1-O28,K-EFF_1-O29,K-EFF_1-O30,K-EFF_1-O31,K-EFF_1-O32,K-EFF_1-O33,K-EFF_1-O34,K-EFF_1-O35
460.9899902,1,1.624830298,1.067682981,1.063421011,1.070104957,1.024306059,1.084422946,1.023785949,0.994413972,0.963837028,0.995848,1.004466057,1.002781987,0.999060988,0.991748989,1.000746012,0.997200012,1.000816941,1.001471996,0.999939024,1.000188947,0.999248028,0.999746978,1.000144005,1.000329971,1.000089049,0.999975026,0.999916017,1.000031948,0.999916971,0.999897003,1.000017047,0.99999398,0.99998498,1.000530005
500.9200134,1,1.489741674,1.013882041,1.007969975,1.016682029,0.996142983,1.007943034,1.014438987,1.017351031,1.031239033,1.005671024,0.997193992,0.999346018,1.00534904,1.021550059,0.998830974,1.008733034,0.996239007,0.993637025,1.000363946,0.999092996,1.004387021,1.001368046,0.998791993,0.997174978,0.999576986,1.000316978,1.000295997,1.000210047,1.000244021,1.000216961,1.000056028,0.999912024,1.000113964,1.000053048
540.8400269,1,1.389261452,0.971140981,0.962875009,0.974017978,0.981751025,0.959601998,0.986841977,0.999373972,1.019824028,0.998351991,0.991863012,0.993562996,0.995463014,0.993144989,0.999629021,0.995195985,1.005756974,1.008517981,0.999476016,1.001562953,0.990576029,0.997695982,1.004320979,1.009003997,1.001198053,0.998314023,0.99822098,0.998827994,0.998750985,0.998718023,0.99999398,1.000131011,1.000180006,1.000043988
580.7600098,1,1.353224081,0.965831995,0.959680021,0.967231989,0.982122004,0.951102972,0.983748019,0.997355998,1.004147053,0.99773699,0.996883988,0.996562004,0.994337022,0.984843016,0.99980998,0.993628979,0.999646008,1.000187039,0.999997973,0.999141991,1.006116986,1.000291944,0.993791997,0.987444997,0.999898016,1.005308032,1.005421996,1.004040956,1.00425005,1.004335999,1.000035048,0.999256015,0.999198973,1.000051022
620.6900024,1,1.348128255,0.975588977,0.971493006,0.974825025,0.984589994,0.962843001,0.990100026,1.002084017,0.999669015,1.003425956,1.006633043,1.004613996,1.000779986,0.994920015,1.00077498,0.999920011,0.995020986,0.993192971,0.998462975,0.997434974,1.002823949,0.999961019,0.998782992,1.000460029,0.994643986,0.99039799,0.990239024,0.992045999,0.991755009,0.991559029,1.000529051,1.002246022,1.002177,1.000105023
660.6099854,1,1.349901236,0.990297973,0.987609029,0.988483012,0.998808026,0.984017015,0.99842298,1.006605983,1.003677964,1.013746977,1.018519044,1.016687036,1.014438987,1.015504956,1.010910034,1.014340997,1.006935954,1.005326033,1.008792043,1.009165049,1.004595041,1.008975029,1.013124943,1.016662955,1.009804964,1.008147001,1.008080959,1.007544041,1.007724047,1.007825971,0.997798026,0.995425999,0.995240986,0.999526978
700.539978,0.992567,1.316450346,0.984368026,0.982975006,0.981770992,0.992173016,0.984601021,0.984915018,0.987366974,0.984577,0.995997012,1.00000298,0.999275029,0.999213994,1.004907012,0.995213985,0.999092996,0.997258008,0.997545004,0.99654901,0.997053027,0.992038012,0.995667994,0.998436987,0.998230994,1.00148201,1.004459977,1.004557967,1.003458977,1.003641009,1.003689051,1.004616022,1.005584955,1.005496979,1.001517057
730.4799805,0.98638,1.293345729,0.979268014,0.97873801,0.975619018,0.98368001,0.983246982,0.975169003,0.974394977,0.974749029,0.983862996,0.986425996,0.986703992,0.987864017,0.993479013,0.985475004,0.987937987,0.989814997,0.990967989,0.988578022,0.98862201,0.987513006,0.987671018,0.987686992,0.986168981,0.991392016,0.993515015,0.993535995,0.993550003,0.993488014,0.993391991,0.999173999,1.000393987,1.000311017,0.999394
750.4400024,0.986552,1.291435099,0.983576,0.983704984,0.979478002,0.986971974,0.990032017,0.976918995,0.974991977,0.980260015,0.98566401,0.986971021,0.987662971,0.988952994,0.992191017,0.987453997,0.988831997,0.990751982,0.991648018,0.988923013,0.989174008,0.989148974,0.988059998,0.985804975,0.983066976,0.987267017,0.988279998,0.988241971,0.989383996,0.989255011,0.98913902,0.99406898,0.994054973,0.993960977,0.995761991
770.4000244,1.002788,1.311767398,1.005424023,1.006189942,1.000349045,1.005483031,1.011325002,0.997092009,0.994336009,1.000221014,1.003641963,1.004024029,1.004976988,1.006646037,1.00879395,1.006636977,1.006651044,1.009989977,1.010905027,1.009130955,1.008770943,1.012071013,1.00921905,1.007405043,1.007393003,1.007375002,1.005635977,1.005540013,1.005900979,1.005810022,1.005779028,1.003133059,1.002488017,1.002465963,1.004562974
790.3699951,1.0045,1.317308094,1.015156984,1.016450047,1.008751035,1.00862205,1.020148039,1.006167054,1.003250957,1.009569049,1.009484053,1.008919954,1.00958395,1.010663986,1.010730982,1.011253953,1.010298014,1.013118982,1.013790011,1.012313962,1.011929035,1.016121984,1.012881994,1.011564016,1.013033986,1.009739995,1.00681901,1.006700993,1.00632596,1.006340981,1.006356955,0.999531984,0.998691976,0.998731017,0.999135971
810.3300171,1.005119,1.315505762,1.020069957,1.021399021,1.013854027,1.013263941,1.025537014,1.010558963,1.00733304,1.015959024,1.013075948,1.011613011,1.012310028,1.012971044,1.010045052,1.014057994,1.012491941,1.012482047,1.012169003,1.011759996,1.011958003,1.013512015,1.012109995,1.010522962,1.010720968,1.007025957,1.005200982,1.005123019,1.005149961,1.005218983,1.005282998,1.000952005,1.000360012,1.000430942,0.998938024
830.289978,1.004944,1.310991602,1.023210049,1.024536014,1.016937017,1.016067028,1.027577043,1.013846993,1.010550976,1.018854022,1.014194012,1.012135983,1.012678981,1.012905002,1.008041978,1.014328003,1.012429953,1.010010004,1.008882046,1.009420991,1.010108948,1.008767009,1.009471059,1.008056998,1.006862998,1.004312038,1.004320979,1.004305005,1.004768014,1.004845023,1.004919052,1.00564599,1.005609989,1.005700946,1.003425956
850.25,1.000354,1.287332029,1.016250014,1.017696023,1.009860992,1.006037951,1.016651988,1.007228971,1.002935052,1.003085017,0.99892801,0.996747017,0.997184992,0.997301996,0.992945015,0.999405026,0.99731499,0.995297015,0.994147003,0.995783985,0.996226013,0.994682014,0.996357977,0.996670008,0.996461987,0.994741976,0.995523989,0.995553017,0.995487988,0.995633006,0.995612979,0.998789012,0.999450982,0.999593973,0.997804999
870.210022,0.996264,1.270779792,1.014281988,1.015730977,1.00672698,1.000792027,1.008926988,1.005902052,1.000906944,0.990751982,0.987770975,0.985753,0.985659003,0.985567987,0.983147025,0.988071024,0.986028016,0.985424995,0.984691978,0.986671984,0.986572027,0.985769987,0.987411976,0.989427984,0.990619004,0.990049005,0.99119997,0.991234004,0.99071002,0.990746975,0.990704,0.994364977,0.995287001,0.995392978,0.995184004
890.1699829,0.999955,1.264441972,1.019317031,1.020584941,1.011976957,1.006062031,1.00980103,1.012184978,1.006772995,0.988696992,0.988067985,0.986348987,0.986084998,0.986158013,0.985849023,0.989100993,0.987268984,0.988281012,0.988014996,0.990402997,0.989781976,0.989910007,0.991421998,0.994498014,0.996486008,0.997274995,0.99840498,0.998429,0.997808993,0.997726977,0.997705996,1.00029099,1.000949025,1.001103044,1.002200007
910.1400146,0.998236,1.251553162,1.017851949,1.019027948,1.011868,1.008687019,1.006083965,1.012614965,1.007174015,0.984504998,0.98605901,0.984851003,0.98446703,0.984758019,0.986508012,0.987802029,0.986308992,0.988484979,0.988663018,0.990875006,0.989968002,0.990733981,0.991675019,0.99496299,0.997186005,0.998970985,0.999810994,0.999870002,0.999327004,0.999282002,0.999203026,0.999493003,0.999473989,0.999670982,1.001258016
930.0999756,1.001222,1.246218192,1.021721959,1.022866964,1.017246962,1.014917016,1.009202003,1.017925024,1.012961984,0.989295006,0.990954995,0.989979982,0.989441991,0.989507973,0.99169302,0.991599023,0.990869999,0.992636025,0.992968023,0.994485974,0.993802011,0.993741989,0.994413972,0.996191025,0.996493995,0.999517977,1.000272036,1.00020802,1.00047195,1.000445008,1.000347018,0.999579012,0.998867989,0.998966992,1.000066042
950.0599976,1.00551,1.243330844,1.026656032,1.027354002,1.024485946,1.02688396,1.015895009,1.024662971,1.020213008,0.999502003,1.001929998,1.001271009,1.000872016,1.001034975,1.003638983,1.002516031,1.002567053,1.003883958,1.004258037,1.004830003,1.00444603,1.003949046,1.004130006,1.004420042,1.00356102,1.006539941,1.006572008,1.006487966,1.007140994,1.00701201,1.007048011,1.004529953,1.003559947,1.003626943,1.003512025
970.0200195,1.007812,1.232307341,1.025372028,1.026129961,1.026597977,1.030990958,1.017819047,1.025002956,1.020859957,1.004310012,1.006297946,1.005874038,1.00565505,1.005638003,1.007766008,1.005913973,1.006724954,1.007048965,1.007349014,1.007040977,1.006971002,1.006271005,1.005954027,1.004768968,1.003069043,1.005100012,1.004600048,1.00453496,1.005206943,1.005198956,1.005218029,1.002153993,1.001394987,1.001518965,1.000177979
989.9799805,1.007003,1.21682038,1.01867795,1.019832015,1.023569942,1.035079956,1.015164018,1.019811034,1.016237974,1.006765008,1.008587956,1.008432984,1.008689046,1.008927941,1.010259986,1.00840795,1.009691954,1.009003997,1.00918901,1.008497,1.008738995,1.007701039,1.007120967,1.004922032,1.002872944,1.003435016,1.002421021,1.002323985,1.002905011,1.002923965,1.00295198,1.000588059,1.000391006,1.000434041,0.998727977
1009.950012,1.005538,1.201478404,1.011930943,1.013476014,1.018880963,1.030115008,1.012032986,1.013826966,1.011008024,1.008456945,1.007935047,1.007825017,1.008113027,1.007830977,1.007616997,1.005839944,1.007632017,1.005468011,1.005506039,1.003950953,1.004655004,1.003149986,1.00248003,0.999392986,0.996967018,0.996352017,0.995428979,0.995384991,0.995764017,0.995849013,0.995880008,0.995872974,0.996115983,0.996196985,0.994911015
1029.910034,1.006679,1.189705027,1.008491039,1.01037395,1.016945004,1.028367996,1.011826992,1.010964036,1.00872004,1.012153029,1.009884,1.009819031,1.010195017,1.009644032,1.008370996,1.006706953,1.008774042,1.005867958,1.005823016,1.003772974,1.004575968,1.003409982,1.002560019,0.999572992,0.997946024,0.996083021,0.995294988,0.995283008,0.995275021,0.995389998,0.99534899,0.997080982,0.997684002,0.997714996,0.997484982
1049.869995,1.005574,1.178972918,1.00374496,1.005787015,1.01206696,1.022140026,1.009107947,1.006340027,1.005336046,1.014806986,1.010895014,1.01087296,1.011204004,1.010470033,1.008394003,1.007081032,1.00910604,1.006072044,1.005938053,1.004070044,1.004791975,1.004187942,1.003440022,1.001405001,1.000777006,0.998342991,0.997916996,0.997915983,0.997588992,0.997690022,0.99772799,1.000604987,1.001253963,1.00128901,1.002071977
1069.829956,1.004476,1.167904158,0.999732971,1.001937032,1.007094026,1.01443696,1.006109953,1.002524972,1.002431989,1.014878035,1.010010004,1.010115027,1.010246038,1.009278059,1.007298946,1.005668044,1.007465005,1.005563021,1.005589008,1.003748059,1.004140019,1.00512898,1.004114032,1.00377202,1.005162001,1.002197027,1.001790047,1.00178504,1.000910044,1.000972033,1.000956059,1.002745032,1.003252983,1.00327599,1.004606962
1089.790039,1,1.154781878,0.992778003,0.99526602,0.998893023,1.003790975,0.999747992,0.995817006,0.996617973,1.011459947,1.005960941,1.006194949,1.006186008,1.005130053,1.003316998,1.001734972,1.003095984,1.001945972,1.002032042,1.000640035,1.00067997,1.002511978,1.001626015,1.002521992,1.005022049,1.002524972,1.002447009,1.002472997,1.001590014,1.001603961,1.001566052,1.002231002,1.002346992,1.002344012,1.003648996
1109.76001,0.991041,1.139435482,0.983469009,0.985920012,0.988458991,0.990832984,0.991527021,0.986781001,0.988463998,1.00564003,0.999547005,0.999827027,0.999683976,0.998552024,0.996695995,0.995585978,0.996500015,0.995814025,0.995801985,0.99505198,0.994982004,0.996594012,0.996366978,0.997952998,1.000108957,0.99911201,0.999745011,0.999749005,0.999370992,0.999339998,0.999280989,0.999532998,0.999167025,0.999163985,0.999877989
1129.719971,0.986951,1.128020189,0.977192998,0.979869008,0.981046975,0.979930997,0.985333979,0.980795979,0.983228981,1.000781059,0.994768977,0.995112002,0.994847,0.993659973,0.992051005,0.991348028,0.991702974,0.991617978,0.991604984,0.991447985,0.99119103,0.992416024,0.992808998,0.994723022,0.996159017,0.996725023,0.997784019,0.997797012,0.997976005,0.997913003,0.997883976,0.997476995,0.996814013,0.996755004,0.996654987
1149.680054,0.985704,1.12201116,0.975727022,0.978428006,0.978658974,0.974376023,0.983604014,0.979879975,0.982937992,0.999355018,0.994105995,0.994621992,0.994226992,0.993312001,0.992448986,0.991882026,0.991680026,0.992534995,0.992540002,0.993041992,0.992617011,0.993655026,0.994310975,0.996399999,0.997380018,0.999032974,1.000067949,1.000056982,1.000512958,1.000466943,1.000455976,0.999035001,0.99840802,0.998372972,0.997515023
1169.640015,0.98615,1.118528529,0.976047993,0.978699982,0.978341997,0.971908987,0.983344972,0.980756998,0.984328985,0.998789012,0.994723976,0.995405018,0.994957983,0.99436003,0.99436599,0.993999004,0.993229985,0.994975984,0.995023012,0.996111989,0.995570004,0.99624002,0.997160971,0.999045014,0.999293029,1.001639962,1.00238204,1.00236702,1.002967954,1.002920032,1.002936959,1.001045942,1.000622034,1.00061202,0.999403
1189.599976,0.98369,1.113491239,0.975140989,0.97766,0.977281988,0.97062403,0.981962979,0.980567992,0.984485984,0.996167004,0.993550003,0.994360983,0.993909001,0.993692994,0.994563997,0.994368017,0.993112028,0.995549977,0.995633006,0.997183025,0.996589005,0.996815979,0.997829974,0.999199986,0.998737991,1.001191974,1.001508951,1.001461983,1.002048969,1.002035022,1.002056956,1.000360012,1.000324011,1.000331998,0.999275029
1209.569946,0.983714,1.110640978,0.975404978,0.977901995,0.977420986,0.969510972,0.981454015,0.981429994,0.985597014,0.994277,0.993315995,0.994251013,0.993833005,0.993984997,0.995536029,0.995582998,0.994037986,0.996623993,0.996661007,0.998320997,0.997837007,0.997368991,0.998333991,0.998780012,0.997482002,0.999736011,0.999635994,0.999610007,1.000120997,1.000162959,1.000203967,0.999568999,0.999854982,0.999867022,0.999410987
1229.530029,0.985456,1.111320003,0.979322016,0.981489003,0.981454015,0.974282026,0.984817982,0.985984027,0.990128994,0.995590985,0.996577024,0.997671008,0.997340977,0.99801898,1.00030005,1.000555992,0.998790026,1.001539946,1.001603961,1.003394008,1.002979994,1.002256989,1.002923012,1.002612948,1.001229048,1.002536058,1.001906991,1.001863956,1.001994967,1.002064943,1.002102971,1.002228022,1.002792954,1.002794027,1.003054976
1249.48999,0.986355,1.111631061,0.982041001,0.984063983,0.984546006,0.977768004,0.987366974,0.98921603,0.993272007,0.996030986,0.99833101,0.99940002,0.999149024,1.000077963,1.002395988,1.003139973,1.001381993,1.003417015,1.003335953,1.004861951,1.004781961,1.003198981,1.00376296,1.00247705,1.000468016,1.00109005,1.000429034,1.000367999,1.000424027,1.00050199,1.000529051,1.002293944,1.002830982,1.002820015,1.003736019
1269.449951,0.983469,1.108023383,0.981468976,0.983213007,0.983878016,0.976908028,0.985964,0.988988996,0.992980003,0.992582023,0.996290982,0.997358978,0.997232974,0.998398006,1.000900984,1.001822948,1.000211,1.001760006,1.001718044,1.002691031,1.002781987,1.001273036,1.001319051,0.99961102,0.998059988,0.997460008,0.996629,0.996594012,0.996261001,0.996367991,0.996345997,0.99830699,0.998714983,0.998687983,0.999837995
1289.410034,0.983539,1.107899004,0.98428297,0.985670984,0.986543,0.981197,0.987820983,0.992039979,0.995769024,0.991898,0.997227013,0.998274028,0.998292983,0.999733984,1.002524972,1.003453016,1.002014995,1.003430009,1.003450036,1.004070044,1.004112005,1.003417015,1.002810955,1.001302958,1.001109958,0.999098003,0.99792701,0.997923017,0.997084975,0.99712801,0.99713397,0.997924984,0.998176992,0.998144984,0.998997986
1309.380005,0.98337,1.108367548,0.986518979,0.987509012,0.989233971,0.98426199,0.990207016,0.994176984,0.997612,0.992644012,0.998573005,0.999415994,0.999576986,1.00106895,1.003124952,1.004497051,1.003509998,1.003623009,1.003569007,1.00367105,1.004022956,1.003108025,1.002411962,1.000836968,1.000833035,0.998571992,0.997913003,0.997937024,0.997296989,0.997319996,0.997282982,0.998076975,0.997905016,0.997919977,0.998261988
1329.339966,0.985042,1.111016603,0.991124988,0.991786003,0.993829012,0.990194023,0.994530976,0.998575985,1.00177002,0.995571017,1.001798034,1.002462983,1.002694964,1.004117012,1.005496025,1.006963015,1.006484032,1.00562799,1.005501032,1.004973054,1.00541997,1.004832029,1.003973007,1.002642989,1.003139973,1.000825047,1.000592947,1.00061202,1.000172019,1.000149012,1.000105977,1.000115991,0.99970299,0.999670982,0.999366999
1349.300049,0.98248,1.108883292,0.991023004,0.991485,0.993771017,0.99001199,0.994502008,0.998133004,1.000975013,0.994266987,1.000134945,1.00050199,1.000830054,1.001965046,1.002346992,1.003980994,1.004042029,1.001991034,1.001808047,1.00068295,1.001253009,1.000745058,0.999956012,0.998999,0.999634027,0.997981012,0.998440027,0.998470008,0.998408973,0.998434007,0.998376012,0.998045981,0.997461021,0.997475982,0.996685982
1369.26001,0.982832,1.113460965,0.996285021,0.996240973,0.998935997,0.995899975,0.999949992,1.002822042,1.005447984,0.999624014,1.004896998,1.004999995,1.005316973,1.006196022,1.00554502,1.007228017,1.007840037,1.00484097,1.004570007,1.003080964,1.003805041,1.003334999,1.002797008,1.00226903,1.002778053,1.002114058,1.003113031,1.003106952,1.003584027,1.003510952,1.003484011,1.003072023,1.002478957,1.002475977,1.001538992
1389.219971,0.982224,1.112798781,0.997765005,0.997408986,1.000221014,0.99820298,1.001310945,1.003748059,1.005799055,0.999499023,1.004431963,1.004245043,1.004691958,1.005272031,1.004019976,1.005586028,1.006553054,1.003489017,1.003311038,1.001798034,1.002313018,1.002544999,1.002200961,1.002604008,1.003525972,1.003607988,1.004667997,1.004706979,1.005244017,1.005177975,1.005195975,1.004160047,1.003844976,1.00385797,1.003028035
